label,requirement,enriched_domain_tags,enriched_stakeholder,enriched_complexity_level,enriched_action_type
PE,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,"['Real-time Processing', 'Message Handling', 'Scheduling']",System,Low,Read
PE,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,"['Scalability', 'Resource Management', 'High Availability']",Admin,High,Update
A,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,"['High Availability', 'Uptime', 'Reliability']",User,High,Other
FT,The product shall be robust.The product shall have fault avoidance based on standards adoption.,"['Robustness', 'Fault Tolerance', 'Standards Compliance']",Security,Medium,Other
FT,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,"['Robustness', 'Fault Tolerance', 'Recovery Techniques']",Security,High,Other
SC,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,"['Transaction Processing', 'Scalability', 'Performance']",User,Medium,Create
O,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,"['Platform Independence', 'Interoperability', 'Flexibility']",Developer,High,Other
O,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,"['Integration', 'Real-time Processing', 'Message Exchange']",System,High,Read
MN,The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,"['High Availability', 'Scalability', 'Zero Downtime']",Admin,High,Update
MN,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,"['Maintenance', 'Release Management', 'Product Updates']",Admin,Medium,Update
MN,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,"['Cross-Platform Compatibility', 'Technology Integration', 'Architecture']",User,High,Other
SE,The product shall have security.The product shall provide authentication  and authorization.,"['Security', 'Authentication', 'Authorization']",Security,High,Create
SE,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,"['Data Protection', 'Encryption', 'Integrity Checking']",Security,High,Create
SE,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,"['Audit Trails', 'Compliance', 'Data Storage']",Admin,Medium,Create
LF,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,"['Branding', 'UI Design', 'Logo Usage']",User,Low,Create
LF,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,"['Cross-Platform Compatibility', 'UI Design', 'Resolution']",User,Medium,Read
LF,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,"['Nomenclature', 'Consistency', 'System Integration']",User,Low,Other
LF,The interface must summarize the data in a fashion that�s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,"['Data Visualization', 'Reporting', 'Dashboard']",Admin,Medium,Read
US,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,"['UI Design', 'Accessibility', 'Navigation']",User,Medium,Other
US,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,"['Usability', 'User Experience', 'IBM Standards']",User,Medium,Read
US,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),"['Report Generation', 'User Interface', 'User Experience']",User,Low,Create
US,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,"['User Experience', 'System Navigation', 'Usability']",User,Medium,Read
US,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),"['Training', 'System Deployment', 'CCR Users']",Admin,High,Other
US,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,"['Terminology', 'Usability Testing', 'Corporate Community Grants']",Legal,Medium,Update
A,The WCS system shall be available at all times as long as IBM�s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM�s internal intranet W3 is available.,"['System Availability', 'IBM Intranet', 'Uptime']",Security,High,Other
SC,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,"['Database Connection', 'System Integration', 'WCS Databases']",Admin,High,Create
SC,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,"['Data Region', 'User Access', 'CCR Management']",Admin,Medium,Update
O,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,"['System Environment', 'Windows Operating System', 'IBM Computer']",Admin,Low,Other
O,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,"['File Export', 'Brio', 'Spreadsheet Formats']",User,Low,Create
MN,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,"['Database Management', 'Data Refresh', 'WCS System']",User,Medium,Update
MN,All changes  updates  and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,"['Documentation', 'System Updates', 'WCS Guides']",Admin,Low,Update
SE,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,"['Authentication', 'Authorization', 'Security']",Security,Medium,Read
SE,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user�s computer.,"['Security', 'Authentication', 'Cookie Management']",Security,High,Other
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner�s page,"['Authentication', 'Team Management', 'Access Control']",User,Low,Read
SE,The Commissioner will be the only authorized user per league to adjust league settings.,"['Authorization', 'League Management', 'User Roles']",Admin,Low,Update
LF,Each page shall contain a navigation menu which shows the index into which the current page is contained.,"['User Interface', 'Navigation', 'Page Structure']",User,Low,Read
LF,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,"['User Interface', 'Page Layout', 'Navigation']",User,Low,Read
LF,The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,"['Message Board', 'League Page', 'Content Display']",User,Medium,Read
US,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,"['User Experience', 'Navigation', 'Performance']",User,High,Other
US,Users shall be able to reach the �add�  �drop�  and �trade player� pages with one click from the team owner�s page.,"['User Interface', 'Sports', 'Navigation']",User,Low,Read
US,Users shall be able to view at least 25 NFL player statistics and points on each page.,"['Data Visualization', 'Sports', 'Statistics']",User,Medium,Read
US,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,"['User Interface', 'Security', 'Confirmation']",User,Low,Other
PE,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,"['Performance', 'Networking', 'Transaction Processing']",User,High,Create
A,The application shall have a downtime of at most 10 minutes per year.,"['Availability', 'Uptime', 'Maintenance']",Admin,High,Other
O,The application shall run on a web application server.,"['Infrastructure', 'Server', 'Deployment']",Admin,Low,Other
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,"['Performance', 'User Experience', 'Navigation']",User,Medium,Read
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,"['Scalability', 'Concurrent Users', 'Performance']",Admin,High,Other
O,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday � Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,"['Availability', 'Uptime', 'Maintenance']",Admin,High,Other
O,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,"['Data Integration', 'Database', 'Interface']",Security,Medium,Read
O,A primary database will be used to store cached data for active users.,"['Database Management', 'Data Storage', 'Caching']",Security,Medium,Create
A,The system shall achieve 95% up time.,"['System Performance', 'Reliability', 'Uptime']",Admin,High,Other
LF,The system shall have a professional appearance,"['User Experience', 'UI Design', 'Branding']",User,Medium,Create
LF,The product shall have a consistent color scheme and fonts.,"['UI Design', 'Branding', 'Visual Identity']",User,Low,Create
US,The system shall be used by realtors with no training.,"['User Experience', 'Usability', 'Realtor']",User,High,Other
US,The system shall be intuitive and self explanatory.,"['User Experience', 'Usability', 'Intuitive Design']",User,High,Other
US,The product shall be easy for a realtor to learn.,"['User Experience', 'Learning Curve', 'Realtor']",User,Medium,Other
US,The product shall use symbols and words that are naturally understandable by the realtor community.,"['User Experience', 'Terminology', 'Realtor']",User,Medium,Create
PE,The product shall produce search results in an acceptable time,"['Search Functionality', 'Performance', 'Response Time']",User,High,Read
PE,The search results shall be returned no later 30      seconds  after the user has entered the search criteria,"['Search Functionality', 'Response Time', 'Timeout']",User,High,Read
PE,The product shall generate a CMA report in an acceptable time.,"['Reporting', 'Performance', 'Compliance']",User,Medium,Create
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,"['Reporting', 'Performance', 'Timeliness']",User,Medium,Read
PE,The product shall synchronize contacts and appointments in an acceptable time.,"['Data Management', 'Integration', 'Synchronization']",User,High,Update
PE,The product shall synchronize with the office system every hour.,"['Data Management', 'Integration', 'Scheduling']",Admin,Medium,Update
A,The product shall be available for use 24 hours per day  365 days  per year,"['Availability', 'Reliability', 'Uptime']",User,High,Other
A,Out of 1000 accesses to the system  the system is available 999 times.,"['Availability', 'Reliability', 'Quality of Service']",User,High,Other
FT,The product shall operate in offline mode whenever internet connection is unavailable.,"['Mobility', 'Connectivity', 'Resilience']",User,High,Other
FT,The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,"['Data Retrieval', 'Search', 'Reporting']",User,Medium,Read
FT,The product shall retain user preferences in the event of a failure.,"['Data Persistence', 'Reliability', 'User Experience']",User,Medium,Other
FT,100% of saved user preferences shall be restored when system comes back online.,"['Data Recovery', 'Reliability', 'User Experience']",User,High,Other
SC,The product shall be able to support multiple remote users,"['Remote Access', 'Multi-User Support', 'Scalability']",User,Medium,Create
SC,The product shall be able support 1000 simultaneous users.,"['Scalability', 'Performance', 'Concurrency']",User,High,Create
SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,"['Scalability', 'Growth', 'Capacity Planning']",User,Medium,Create
US,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,"['Usability', 'Installability', 'User Experience']",User,Low,Create
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,"['Usability', 'Installability', 'Quality Assurance']",User,Low,Read
PO,The product is expected to run on Windows CE and Palm operating systems.,"['Platform Support', 'Operating System', 'Compatibility']",Admin,Medium,Create
SE,Only registered realtors shall be able to access the system.,"['Security', 'Access Control', 'Authentication']",Security,Medium,Update
SE,Every user of the system shall be authenticated and authorized.,"['Security', 'Authentication', 'Authorization']",Security,High,Read
SE,The product shall prevent its data from incorrect data being introduced.,"['Data Integrity', 'Data Validation', 'Error Prevention']",Security,High,Other
F,The system shall allow a real estate agent to query MLS information,"['Data Retrieval', 'Information Query', 'Real Estate']",User,Medium,Read
F,The user shall be able to get driving directions to a selected property,"['Mapping', 'Navigation', 'Real Estate']",User,Medium,Read
F,The user shall be able to download appointments and contact information for clients,"['Client Management', 'Scheduling', 'Data Export']",User,Medium,Read
F,The system shall display clear property images in the search results,"['Real Estate', 'Image Processing', 'Search']",User,Low,Read
SC,system shall be able to handle all of the user requests/usage during business hours.,"['System Performance', 'Scalability', 'Availability']",User,High,Other
SC,The system shall cater to 10 simultaneous users from 9am to 5pm.,"['System Capacity', 'Concurrency', 'Scheduling']",Admin,Medium,Other
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,"['Education', 'Student Management', 'Capacity Planning']",Admin,High,Other
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,"['Curriculum Management', 'Scheduling', 'Education']",Admin,High,Create
O,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,"['System Integration', 'Environment', 'Compliance']",Admin,Medium,Other
O,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,"['System Configuration', 'Hardware', 'Compliance']",Admin,Low,Other
O,A secondary database will be used to store historical statistics and data.,"['Data Storage', 'Database Management', 'Analytics']",Admin,Medium,Create
F,The system shall be able to call the seller or buyer to schedule an appointment,"['Telecommunication', 'Scheduling', 'Real Estate']",User,Medium,Create
F,The realtor shall be notified of new client appointments after automatic synchronization with office system,"['Notification', 'Synchronization', 'Real Estate']",Realtor,Medium,Read
F,The realtor shall be able to retrieve a map showing property locations for a specified area,"['Geographic Information System', 'Real Estate', 'Mapping']",Realtor,High,Read
F,The system shall notify the realtor when a seller or buyer responds to an appointment request,"['Notification', 'Real Estate', 'Scheduling']",Realtor,Medium,Read
F,The product shall allow the user to save the property search results.,"['Data Storage', 'Real Estate', 'Search']",User,Low,Create
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members.,"['Usability', 'Healthcare', 'Administration']",Admin,Medium,Other
US,All of the users shall be able to use the system after one day of training.,"['Training', 'Usability', 'Healthcare']",User,Low,Other
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,"['Scheduling', 'Healthcare', 'Education']",User,High,Create
US,The number of mistakes noted by the students shall be decreased by 50% in the first year.,"['Quality Improvement', 'Healthcare', 'Education']",User,High,Other
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,"['Usability', 'Healthcare', 'Administration']",Admin,Medium,Other
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,"['Education', 'Healthcare', 'Scheduling']",User,Medium,Create
US,The system shall use symbols and words that are naturally understandable by the user community.,"['User Experience', 'Usability', 'Accessibility']",User,Low,Read
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,"['Language', 'Healthcare', 'Standards']",User,Low,Read
PE,Staff members shall be able to complete a set of tasks in a timely manner.,"['Productivity', 'Time Management', 'Staff']",User,Medium,Update
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,"['Performance', 'Response Time', 'Student Management']",User,High,Read
A,The system shall be available for use between the hours of 8am and 6pm.,"['Availability', 'Uptime', 'Scheduling']",Admin,Low,Other
O,The system shall operate within the Windows XP Professional operating system.,"['Operating System', 'Compatibility', 'Windows']",Security,Medium,Create
O,The system shall interface with CampusConnect�s central server,"['Integration', 'Server', 'CampusConnect']",Admin,High,Create
O,The system shall interface with the faculty central server.,"['Integration', 'Server', 'Faculty']",Admin,High,Create
O,The system shall interface with the student master server.,"['Integration', 'Server', 'Student']",Admin,High,Create
O,We must be able to interface with any HTML browser.,"['Browser', 'HTML', 'Interface']",User,Low,Create
SE,Only authorized users shall have access to clinical site information.,"['Security', 'Authorization', 'Clinical Site']",User,Medium,Read
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,"['Security', 'Authorization', 'Nursing Staff']",Admin,Medium,Read
SE,Only authorized users shall have access to students� personal information.,"['Security', 'Authorization', 'Student Information']",User,Medium,Read
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students� personal information.,"['Security', 'Authorization', 'Student Information']",Admin,Medium,Read
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,"['Security', 'Authorization', 'CampusConnect']",User,Medium,Read
SE,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,"['Security', 'Authorization', 'Scheduling']",Admin,Medium,Read
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,"['Data Integrity', 'Data Validation', 'System Security']",Security,High,Other
SE,The system shall protect private information in accordance with the organization�s information policy.,"['Data Protection', 'Information Policy', 'Organizational Security']",Security,High,Other
SE,The system shall be built such that it is as secure as possible from malicious interference.,"['System Security', 'Malicious Interference', 'Security Measures']",Security,High,Other
SE,The system shall use the organization�s standard virus protection software to help monitor threats to itself.,"['Security', 'IT', 'Compliance']",Security,Low,Other
F,A cohort shall be associated to one Program of Study offered by the department.,"['Education', 'Program Management', 'Study Planning']",Admin,Medium,Create
F,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,"['Student Management', 'Education', 'Cohort Planning']",Admin,Medium,Create
F,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,"['Student Management', 'Education', 'Cohort Planning']",Admin,Low,Create
F,Students added to a cohort shall be eligible for the cohort�s Program of Study.,"['Education', 'Program Management', 'Eligibility']",User,Medium,Other
F,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,"['Curriculum Planning', 'Education', 'Class Scheduling']",Admin,High,Update
F,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,"['Class Scheduling', 'Education', 'Quarter Planning']",Admin,High,Update
F,For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,"['Class Scheduling', 'Education', 'Quarter Planning']",Admin,High,Update
F,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,"['Curriculum Planning', 'Education', 'Class Management']",Admin,Medium,Create
MN,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,"['Maintenance', 'IT', 'Scheduling']",IT,Low,Other
MN,New System version releases shall be released at the beginning of each NFL season.,"['Software Release', 'Scheduling', 'NFL']",Admin,Medium,Create
F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,"['Data Integration', 'Exercise Management', 'Sync Matrix']",User,High,Read
F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,"['Event Management', 'Sync Matrix', 'Exercise Management']",User,High,Update
F,The system shall allow modification of the display.,"['User Interface', 'Display Settings', 'Customization']",User,Low,Update
F,The system shall offer a display of all the Events in the exercise.,"['Event Management', 'Exercise Management', 'Data Visualization']",User,Medium,Read
F,The system shall filter data by: Venues and Key Events.,"['Data Filtering', 'Event Management', 'Venue Management']",User,Medium,Read
F,The system shall allow a user to define the time segments,"['Time Management', 'User Settings', 'Customization']",User,Low,Create
F,The system shall display the local and exercise time in separate clocks,"['Time Display', 'User Interface', 'Exercise Management']",User,Low,Read
F,The system shall offer the ability to pause and resume the refresh of data.,"['Data Refresh', 'User Interface', 'Control Settings']",User,Medium,Other
F,The system shall provide charts for the Activity or Event actual versus assumed time.,"['Data Visualization', 'Event Management', 'Activity Management']",User,High,Read
A,The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.,"['System Availability', 'Uptime', 'Reliability']",User,Medium,Other
O,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.,"['Hardware Requirements', 'Workstation Configuration', 'Technical Specifications']",User,Low,Read
O,98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,"['Software Requirements', 'Browser Compatibility', 'Technical Specifications']",User,Low,Read
O,"""The RFS system should be able to easily interface with the BDW environment  in order to load the data. �	7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year. The data will be as of October month-end. 	Test files (7) shall be loaded up to 5 times throughout the year  from the BDW.""","['Data Integration', 'System Interface', 'Data Loading']",Admin,High,Create
MN,Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.,"['Budgeting Process', 'Formula Updates', 'Testing']",Admin,Medium,Update
MN,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,"['Data Synchronization', 'Entity Mapping', 'System Update']",Admin,Medium,Update
SE,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,"['Access Control', 'User Authentication', 'Role-Based Access']",Security,Medium,Read
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,"['Role-Based Access Control', 'User Permissions', 'System Security']",Security,High,Other
LF,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,"['Compliance', 'Standards', 'Intranet Page Design']",Legal,Medium,Other
LF,The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,"['Display Compatibility', 'Resolution Support', 'User Experience']",User,Low,Read
US,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,"['Budgeting', 'User Experience', 'Time Management']",User,Medium,Create
PE,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,"['Performance', 'User Interface', 'Response Time']",User,High,Read
F,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,"['Communication', 'Email', 'Notification']",User,Low,Read
F,The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,"['Education', 'Scheduling', 'Notification']",Student,Medium,Update
F,The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,"['Healthcare', 'Clinical Management', 'Notification']",Clinical Staff,High,Update
F,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,"['Education', 'Scheduling', 'Notification']",Student,Medium,Update
F,The system shall display Events or Activities.,"['Event Management', 'Activity Tracking', 'Display']",User,Low,Read
F,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,"['User Interface', 'Data Visualization', 'Display']",User,High,Create
F,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,"['Data Analytics', 'Summary Data', 'Visualization']",User,Medium,Read
F,The table side of the display shall be split into 2 regions: sequential and temporal.,"['Data Visualization', 'User Interface', 'Display']",User,High,Create
F,The top 1/4 of the table will hold events that are to occur sequentially.,"['Event Management', 'Table Display', 'Sequential Events']",User,Low,Create
F,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,"['Event Management', 'Table Display', 'Time-Based Events']",User,Low,Create
F,The system shall color code events according to their variance from current time.,"['Event Visualization', 'Color Coding', 'Time-Based Events']",User,Medium,Read
F,The system shall provide a history report of changes made to the Activity or Event data,"['Audit Trail', 'Data History', 'Activity Tracking']",Admin,Medium,Read
LF,The look and feel of the system shall conform to the user interface standards of the smart device.,"['User Interface', 'Smart Device Compatibility', 'Design Standards']",User,High,Other
LF,The user interface shall have standard menus  buttons for navigation,"['User Interface', 'Navigation', 'Menu Design']",User,Low,Read
F,The system shall update or create new property listings in the MLS,"['Property Listings', 'MLS Integration', 'Data Synchronization']",Realtor,Medium,Create
F,Realtor shall be able to generate a CMA report based on property criteria,"['Report Generation', 'CMA Report', 'Property Criteria']",Realtor,Medium,Read
F,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,"['Clinical Classes', 'Class Scheduling', 'Administrative Tasks']",Program Administrators,Medium,Create
F,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,"['Cohort Management', 'Administrative Tasks', 'Student Tracking']",Program Administrators,Medium,Create
F,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,"['Education', 'Nursing', 'Administration']",Admin,Medium,Create
F,A class shall be either a non-clinical class or a clinical class.,"['Education', 'Classification', 'Nursing']",User,Low,Other
F,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,"['Education', 'Course Planning', 'Nursing']",User,Low,Other
F,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,"['Education', 'Course Planning', 'Clinical']",User,Low,Other
F,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,"['Education', 'Program Management', 'Nursing']",Admin,Medium,Create
F,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,"['Education', 'Program Management', 'Curriculum']",User,Low,Other
F,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,"['Education', 'Program Management', 'Nursing']",Admin,Medium,Update
F,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members� planning purposes.,"['Reporting', 'Education', 'Administration']",Admin,High,Read
F,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,"['Reporting', 'Education', 'Course Planning']",User,Low,Other
F,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,"['Scheduling', 'Education', 'Conflict Resolution']",User,High,Other
F,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,"['Healthcare', 'Education', 'Administration']",Admin,Medium,Create
F,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,"['Healthcare', 'Data Management', 'Compliance']",User,Low,Read
F,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,"['Education', 'Healthcare', 'Curriculum']",Admin,Medium,Create
F,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,"['Education', 'Healthcare', 'Scheduling']",User,Low,Read
F,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,"['Education', 'Healthcare', 'Enrollment']",Admin,Medium,Update
F,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,"['Education', 'Healthcare', 'Enrollment']",Admin,Medium,Update
F,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,"['Education', 'Healthcare', 'Scheduling']",Admin,High,Update
F,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,"['Education', 'Healthcare', 'Compliance']",Admin,Medium,Delete
F,A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,"['Healthcare', 'Education', 'Admissions']",Admin,Medium,Create
F,A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,"['Education', 'Student Affairs', 'Advising']",Admin,High,Update
F,The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,"['Education', 'Student Management', 'Cohort Management']",User,Medium,Read
F,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,"['Clinical Management', 'Site Management', 'Lab Management']",User,Medium,Read
F,The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.,"['Clinical Management', 'Lab Management', 'Student Enrollment']",User,Medium,Read
F,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,"['Student Management', 'Nursing Education', 'Student Enrollment']",User,Medium,Read
F,The system shall be able to display a printable summary of the system log.,"['System Administration', 'Logging', 'Auditing']",Admin,Low,Read
F,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,"['Contact Management', 'Staff Management', 'Communication']",Admin,Low,Create
